"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-03-01 00:00","2017","03","01","00:00","3.0","","0.6","","85","","","M","15","","10","","","","99.77","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-03-01 01:00","2017","03","01","01:00","2.7","","1.4","","91","","","M","7","","7","","","","99.64","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-03-01 02:00","2017","03","01","02:00","2.4","","1.7","","95","","","M","","","0","","","","99.52","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-03-01 03:00","2017","03","01","03:00","2.2","","1.6","","95","","","M","6","","6","","","","99.38","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-03-01 04:00","2017","03","01","04:00","2.5","","2.0","","96","","","M","5","","6","","","","99.31","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-03-01 05:00","2017","03","01","05:00","2.2","","1.5","","95","","","M","7","","6","","","","99.21","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-03-01 06:00","2017","03","01","06:00","2.9","","2.6","","98","","","M","5","","18","","","","98.90","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-03-01 07:00","2017","03","01","07:00","2.7","","2.5","","99","","","M","6","","16","","","","98.83","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-03-01 08:00","2017","03","01","08:00","3.0","","2.8","","99","","","M","6","","16","","","","98.66","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-03-01 09:00","2017","03","01","09:00","3.2","","3.1","","99","","","M","7","","15","","","","98.53","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-03-01 10:00","2017","03","01","10:00","3.6","","3.4","","99","","","M","6","","7","","","","98.38","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-03-01 11:00","2017","03","01","11:00","4.8","","4.6","","98","","","M","3","","7","","","","98.19","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-03-01 12:00","2017","03","01","12:00","4.4","","4.1","","98","","","M","36","","4","","","","98.06","","","","","","NA"
